0	0.100
1	0.108
2	0.116
3	0.123
4	0.129
5	0.135
6	0.140
7	0.145
8	0.148
9	0.152
10	0.154
11	0.157
12	0.159
13	0.160
14	0.161
15	0.162
16	0.163
17	0.164
18	0.164
19	0.165
20	0.165
21	0.166
22	0.166
23	0.166
24	0.166
25	0.166
26	0.166
27	0.166
28	0.166
29	0.166
30	0.167
31	0.167
32	0.167
33	0.167
34	0.167
35	0.167
36	0.167
37	0.167
38	0.167
39	0.167
40	0.167
41	0.167
42	0.167
43	0.167
44	0.167
45	0.167
46	0.167
47	0.167
48	0.167
49	0.167
50	0.167
51	0.167
52	0.167
53	0.167
54	0.167
55	0.167
56	0.167
57	0.167
58	0.167
59	0.167
60	0.167
61	0.167
62	0.167
63	0.167
64	0.167
65	0.167
66	0.167
67	0.167
68	0.167
69	0.167
70	0.167
71	0.167
72	0.167
73	0.167
74	0.167
75	0.167
76	0.167
77	0.167
78	0.167
79	0.167
80	0.167
